Host,SMILES,H3K4,H3K4ac,H3K4me1,H3K4me2,H3K4me3,H3K9me3,H3R2me2a,H3R2me2s
AP6,OC1=C(C=C(C=C1CC2=C(C(C3)=CC(S(=O)(O)=O)=C2)O)C4=CC=C(C=C4)C(N[C@H](C(O)=O)CC(O)=O)=O)CC5=CC(S(=O)(O)=O)=CC(CC6=CC(S(=O)(O)=O)=CC3=C6O)=C5O,0.470003629,-0.127833372,-2.120263536,-4.342805922,-4.199705078,-3.244193633,-3.015934981,-1.46967597
E3,OC1=C(CC2=CC(NC(C3=CC=C(C4=CC=CC=C4)C=C3)=O)=CC(C5)=C2O)C=C(S(=O)(O)=O)C=C1CC6=C(O)C(CC7=C(O)C5=CC(S(=O)(O)=O)=C7)=CC(S(=O)(O)=O)=C6,0.09531018,0.993251773,-1.049822124,-2.995732274,-2.488914671,-1.139434283,-1.021651248,-0.235722334
E6,OC1=C(CC2=CC(NC(OCC3=CC=CC=C3)=O)=CC(C4)=C2O)C=C(S(=O)(O)=O)C=C1CC5=C(O)C(CC6=C(O)C4=CC(S(=O)(O)=O)=C6)=CC(S(=O)(O)=O)=C5,-0.673344553,0.09531018,-1.771956842,-2.864704011,-2.488914671,0.78845736,0.405465108,-0.510825624
PSC6,OC1=C2C=C(S(=O)(O)=O)C=C1CC3=C(O)C(CC4=CC(S(=O)(O)=O)=CC(CC5=CC(S(=O)(O)=O)=CC(CC6=CC(S(=O)(O)=O)=CC(CC(C=C(S(=O)(O)=O)C=C7C2)=C7O)=C6O)=C5O)=C4O)=CC(S(=O)(O)=O)=C3,-0.967584026,1.064710737,-1.347073648,-2.847312268,-4.074541935,-2.47693848,-1.514127733,-0.994252273
AP7,OC1=C(C=C(C=C1CC2=C(C(C3)=CC(S(=O)(O)=O)=C2)O)C4=CC=C(C=C4)C(N[C@H](C(N)=O)CC(O)=O)=O)CC5=CC(S(=O)(O)=O)=CC(CC6=CC(S(=O)(O)=O)=CC3=C6O)=C5O,0.587786665,0.336472237,-0.579818495,-2.975929646,-2.617295838,-4.017383521,-2.040220829,-0.342490309
CP2,OC1=C(C=C(C2=CC=C(C(O)=O)C=C2)C=C1CC3=C(C(C4)=CC(S(=O)(O)=O)=C3)O)CC5=CC(C6=CC=C(C(O)=O)C=C6)=CC(CC7=CC(C8=CC=C(C(O)=O)C=C8)=CC4=C7O)=C5O,4.605170186,6.907755279,1.824549292,-1.30933332,-0.562118918,0.182321557,-0.597837001,1.481604541
E5,OC1=C(CC2=CC(NC(C3=CC=C(Br)C=C3)=O)=CC(C4)=C2O)C=C(S(=O)(O)=O)C=C1CC5=C(O)C(CC6=C(O)C4=CC(S(=O)(O)=O)=C6)=CC(S(=O)(O)=O)=C5,4.043051268,4.605170186,0.741937345,-0.755022584,-1.171182982,-0.210721031,0.405465108,1.547562509
E7,OC1=C(CC2=CC(NC(C3=C(F)C(F)=C(F)C(F)=C3F)=O)=CC(C4)=C2O)C=C(S(=O)(O)=O)C=C1CC5=C(O)C(CC6=C(O)C4=CC(S(=O)(O)=O)=C6)=CC(S(=O)(O)=O)=C5,2.066862759,2.48490665,1.435084525,-0.415515444,-0.248461359,0.693147181,1.193922468,2.186051277
BH2,OC1=C(C=C(C2=CC=CN=C2)C=C1CC3=C(C(C4)=CC(S(=O)(O)=O)=C3)O)CC5=CC(S(=O)(O)=O)=CC(CC6=CC(C7=CN=CC=C7)=CC4=C6O)=C5O,4.605170186,0.693147181,1.386294361,-0.385662481,0.741937345,1.386294361,0.587786665,1.410986974
PSC4,OC1=C(C=C(C=C1CC2=C(C(C3)=CC(S(=O)(O)=O)=C2)O)S(=O)(O)=O)CC4=CC(S(=O)(O)=O)=CC(CC5=CC(S(=O)(O)=O)=CC3=C5O)=C4O,1.410986974,2.833213344,0.78845736,-0.186329578,-0.579818495,0.336472237,0.832909123,1.740466175
AH7,OC1=C(C=C(C=C1CC2=C(C(C3)=CC(S(=O)(O)=O)=C2)O)C4=CC=NC=C4)CC5=CC(S(=O)(O)=O)=CC(CC6=CC(S(=O)(O)=O)=CC3=C6O)=C5O,2.397895273,2.397895273,0.916290732,-1.078809661,-0.94160854,0,0.182321557,1.481604541
E11,OC1=C(CC2=CC(NS(C3=C(F)C(F)=C(F)C(F)=C3F)(=O)=O)=CC(C4)=C2O)C=C(S(=O)(O)=O)C=C1CC5=C(O)C(CC6=C(O)C4=CC(S(=O)(O)=O)=C6)=CC(S(=O)(O)=O)=C5,3.663561646,4.605170186,1.774952351,1.16315081,-0.776528789,0.741937345,1.774952351,2.890371758
P-NO2,OC1=C(CC2=CC([N+]([O-])=O)=CC(C3)=C2O)C=C(S(=O)(O)=O)C=C1CC4=C(O)C(CC5=C(O)C3=CC(S(=O)(O)=O)=C5)=CC(S(=O)(O)=O)=C4,2.833213344,2.785011242,2.028148247,0.587786665,0.336472237,1.887069649,1.098612289,0.741937345
E8,OC1=C(CC2=CC(NC(NC3=CC=C(C)C=C3)=S)=CC(C4)=C2O)C=C(S(=O)(O)=O)C=C1CC5=C(O)C(CC6=C(O)C4=CC(S(=O)(O)=O)=C6)=CC(S(=O)(O)=O)=C5,2.708050201,4.605170186,0.955511445,-0.127833372,-0.15082289,0.955511445,1.280933845,3.135494216
AH6,OC1=C(C=C(C=C1CC2=C(C(C3)=CC(S(=O)(O)=O)=C2)O)C4=CN=CN4)CC5=CC(S(=O)(O)=O)=CC(CC6=CC(S(=O)(O)=O)=CC3=C6O)=C5O,3.135494216,4.605170186,2.116255515,-0.105360516,0,1.223775432,1.335001067,2.197224577
AH5,OC1=C(C=C(C=C1CC2=C(C(C3)=CC(S(=O)(O)=O)=C2)O)C4=CN=CN=C4)CC5=CC(S(=O)(O)=O)=CC(CC6=CC(S(=O)(O)=O)=CC3=C6O)=C5O,3.135494216,4.605170186,2.116255515,-0.105360516,0,1.223775432,1.335001067,2.197224577
AO1,OC1=C(C=C(C=C1CC2=C(C(C3)=CC(S(=O)(O)=O)=C2)O)C4=CC=CC=C4C)CC5=CC(S(=O)(O)=O)=CC(CC6=CC(S(=O)(O)=O)=CC3=C6O)=C5O,2.066862759,2.2300144,1.686398954,-0.139262067,-0.314710745,0.336472237,0.832909123,1.504077397
AP1,OC1=C(C=C(C=C1CC2=C(C(C3)=CC(S(=O)(O)=O)=C2)O)C4=CC=C(CC(O)=O)C=C4)CC5=CC(S(=O)(O)=O)=CC(CC6=CC(S(=O)(O)=O)=CC3=C6O)=C5O,1.16315081,2.186051277,0,-1.30933332,-2.302585093,-1.272965676,-0.820980552,0.405465108
AP3,OC1=C(C=C(C=C1CC2=C(C(C3)=CC(S(=O)(O)=O)=C2)O)C4=CC=C(C(C)(C)C)C=C4)CC5=CC(S(=O)(O)=O)=CC(CC6=CC(S(=O)(O)=O)=CC3=C6O)=C5O,0.741937345,1.791759469,0.182321557,-1.171182982,-1.660731207,-0.867500568,-0.430782916,0.587786665
AP4,OC1=C(C=C(C=C1CC2=C(C(C3)=CC(S(=O)(O)=O)=C2)O)C4=CC=C(C)C=C4)CC5=CC(S(=O)(O)=O)=CC(CC6=CC(S(=O)(O)=O)=CC3=C6O)=C5O,1.335001067,2.079441542,0.182321557,-0.776528789,-1.660731207,-0.891598119,0.182321557,1.16315081
E1,OC1=C(CC2=CC(NS(C3=CC=C(C(O)=O)C=C3)(=O)=O)=CC(C4)=C2O)C=C(S(=O)(O)=O)C=C1CC5=C(O)C(CC6=C(O)C4=CC(S(=O)(O)=O)=C6)=CC(S(=O)(O)=O)=C5,0.875468737,1.589235205,-0.235722334,-1.386294361,-2.207274913,-1.237874356,-0.967584026,0.470003629
AP5,OC1=C(C=C(C=C1CC2=C(C(C3)=CC(S(=O)(O)=O)=C2)O)C4=CC=C(C5=CC=CC=C5)C=C4)CC6=CC(S(=O)(O)=O)=CC(CC7=CC(S(=O)(O)=O)=CC3=C7O)=C6O,1.458615023,2.041220329,0.262364264,-0.820980552,-1.966112856,-1.171182982,-0.510825624,0.470003629
AO2,OC1=C(CC2=CC(S(=O)(O)=O)=CC(C3)=C2O)C=C(C4=CC=CC=C4OC)C=C1CC5=C(O)C(CC6=C(O)C3=CC(S(=O)(O)=O)=C6)=CC(S(=O)(O)=O)=C5,1.410986974,1.945910149,0.09531018,-1.237874356,-2.207274913,-2.525728644,-0.083381609,0.470003629
DO2,OC1=C(CC2=CC(C3=C(OC)C=CC=C3)=CC(C4)=C2O)C=C(C5=CC=CC=C5OC)C=C1CC6=C(O)C(CC7=C(O)C4=CC(S(=O)(O)=O)=C7)=CC(S(=O)(O)=O)=C6,-3.324236341,-2.995732274,1.481604541,0.262364264,-0.494296322,0.405465108,1.410986974,1.547562509
AM2,OC1=C(C=C(C=C1CC2=C(C(C3)=CC(S(=O)(O)=O)=C2)O)C4=CC=CC(C(O)=O)=C4)CC5=CC(S(=O)(O)=O)=CC(CC6=CC(S(=O)(O)=O)=CC3=C6O)=C5O,0.641853886,2.054123734,-0.634878272,-1.832581464,-2.813410717,-1.966112856,-1.386294361,0.182321557
AH2,OC1=C(C=C(C=C1CC2=C(C(C3)=CC(S(=O)(O)=O)=C2)O)C4=CC=CN=C4)CC5=CC(S(=O)(O)=O)=CC(CC6=CC(S(=O)(O)=O)=CC3=C6O)=C5O,0.182321557,0.955511445,0,-0.916290732,-0.967584026,-0.446287103,0.182321557,0.262364264
BP0,OC1=C(C=C(C2=CC=CC=C2)C=C1CC3=C(C(C4)=CC(S(=O)(O)=O)=C3)O)CC5=CC(S(=O)(O)=O)=CC(CC6=CC(C7=CC=CC=C7)=CC4=C6O)=C5O,4.605170186,0,0.916290732,-1.30933332,-0.616186139,-0.371063681,0.78845736,1.589235205
AO3,OC1=C(CC2=CC(S(=O)(O)=O)=CC(C3)=C2O)C=C(C4=CC=CC=C4F)C=C1CC5=C(O)C(CC6=C(O)C3=CC(S(=O)(O)=O)=C6)=CC(S(=O)(O)=O)=C5,1.458615023,1.824549292,0.78845736,-0.562118918,-1.108662625,-0.510825624,0.470003629,0.587786665
CP1,OC1=C(C=C(C2=CC=C(CC(O)=O)C=C2)C=C1CC3=C(C(C4)=CC(S(=O)(O)=O)=C3)O)CC5=CC(C6=CC=C(CC(O)=O)C=C6)=CC(CC7=CC(C8=CC=C(CC(O)=O)C=C8)=CC4=C7O)=C5O,4.605170186,1.335001067,0.405465108,-1.171182982,-0.653926467,-0.527632742,-0.478035801,-0.430782916
AM1,OC1=C(C=C(C=C1CC2=C(C(C3)=CC(S(=O)(O)=O)=C2)O)C4=CC=CC(C(C)=O)=C4)CC5=CC(S(=O)(O)=O)=CC(CC6=CC(S(=O)(O)=O)=CC3=C6O)=C5O,1.223775432,1.931521412,0.182321557,-0.693147181,-1.347073648,-0.634878272,-0.105360516,0.916290732
